,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,12/31/17,Crawfordville,FL,30.2,-84.4,30,
2,12/30/17,Hitchcock,TX,29.3,-94.9,1,
3,12/30/17,Waycross,GA,31.2,-82.4,2,
4,12/30/17,Crawfordville,FL,30.2,-84.4,3,
5,12/30/17,Saint Helena Island,SC,32.4,-80.4,2,
6,12/30/17,Riceboro,GA,31.6,-81.2,6,
7,12/29/17,Fort Myers,FL,26.7,-81.8,4,
8,12/29/17,Riceboro,GA,31.6,-81.2,4,
9,12/28/17,Frederiksted,St Croix,17.7,-64.9,2,
10,12/28/17,Riceboro,GA,31.6,-81.2,4,
11,12/27/17,Oviedo,FL,28.6,-81.1,11,
12,12/27/17,Henderson,NV,36,-115,1,
13,12/27/17,Riceboro,GA,31.6,-81.2,4,
14,12/26/17,Riceboro,GA,31.6,-81.2,4,
15,12/26/17,,MI,19.6,-100.3,1,
16,12/25/17,Corpus Christi,TX,27.8,-97.4,1,
17,12/25/17,Riceboro,GA,31.6,-81.2,4,
18,12/24/17,Houston,TX,29.6,-95.1,3,
19,12/24/17,Chalmette,LA,29.9,-89.9,1,
20,12/24/17,Long Beach,CA,33.8,-118.2,6,
21,12/24/17,Laughlin,NV,35.1,-114.6,1,
22,12/24/17,Ormond Beach,FL,29.3,-81.1,1,
23,12/23/17,Ormond Beach,FL,29.3,-81.1,1,
24,12/23/17,Hana,HI,20.7,-156.1,1,
25,12/23/17,Satellite Beach,FL,28.2,-80.6,1,
26,12/22/17,Crawfordville,FL,30.2,-84.4,30,
27,12/22/17,Houston,TX,29.6,-95.1,6,
28,12/22/17,Sugar Land,TX,29.6,-95.7,2,
29,12/22/17,Avon,NC,35.4,-75.5,1,
30,12/21/17,Sugar Land,TX,29.6,-95.7,4,
31,12/20/17,Corpus Christi,TX,27.8,-97.4,1,
32,12/20/17,Sugar Land,TX,29.6,-95.7,1,
33,12/20/17,Avon,NC,35.4,-75.5,1,
34,12/20/17,Riceboro,GA,31.6,-81.2,4,
35,12/19/17,Cocoa,FL,28.4,-80.8,1,
36,12/19/17,Waycross,GA,31.2,-82.4,3,
37,12/19/17,Ragged point,CA,35.8,-121.3,2,
38,12/19/17,Riceboro,GA,31.6,-81.2,6,
39,12/19/17,Riceboro,GA,31.6,-81.2,4,
40,12/18/17,Crawfordville,FL,30.2,-84.4,15,
41,12/18/17,Riceboro,GA,31.6,-81.2,4,
42,12/17/17,Waycross,GA,31.2,-82.4,2,
43,12/17/17,Riceboro,GA,31.6,-81.2,2,
44,12/17/17,Riceboro,GA,31.6,-81.2,2,
45,12/16/17,Riceboro,GA,31.6,-81.2,2,
46,12/16/17,Riceboro,GA,31.6,-81.2,4,
47,12/15/17,Avon,NC,35.4,-75.5,2,
48,12/14/17,Waycross,GA,31.2,-82.4,1,
49,12/14/17,Crawfordville,FL,30.2,-84.4,15,
50,12/13/17,Long Beach,CA,33.8,-118.1,5,
51,12/12/17,Crawfordville,FL,30.2,-84.4,15,
52,12/12/17,Big Sur,CA,36.2,-121.6,4,
53,12/12/17,Crawfordville,FL,30.2,-84.4,30,
54,12/11/17,San Luis PotosÃ­,SLP,22.1,-100.9,19,
55,12/11/17,Crawfordville,FL,30.2,-84.4,30,
56,12/11/17,Crawfordville,FL,30.2,-84.4,2,
57,12/11/17,Pomona,CA,34,-117.8,1,
58,12/11/17,Avon,NC,35.4,-75.5,1,
59,12/11/17,Cortazar,GUA,20.5,-101,2,
60,12/11/17,Carmel Valley,CA,36.4,-121.7,1,
61,12/11/17,Crawfordville,FL,30.2,-84.4,2,
62,12/10/17,Crawfordville,FL,30.2,-84.4,30,
63,12/10/17,Woodland,CA,38.7,-121.9,1,
64,12/10/17,Corpus Christi,TX,27.8,-97.4,1,
65,12/10/17,Avon,NC,35.4,-75.5,1,
66,12/10/17,Crawfordville,FL,30.2,-84.4,30,
67,12/09/17,Woodland,CA,38.7,-121.9,1,
68,12/09/17,Crawfordville,FL,30.2,-84.4,15,
69,12/09/17,Corpus Christi,TX,27.8,-97.4,1,
70,12/09/17,Crawfordville,FL,30.2,-84.4,1,
71,12/08/17,Glendora,CA,34.1,-117.9,1,
72,12/07/17,Killeen,TX,31.1,-97.7,1,
73,12/07/17,Crawfordville,FL,30.2,-84.4,1,
