,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,12/27/15,Damon,TX,29.3,-95.7,1,
2,12/27/15,Bluffton,SC,32.2,-80.9,1,
3,12/27/15,Bluffton,SC,32.2,-80.9,1,
4,12/26/15,Humble,TX,30,-95.2,1,
5,12/26/15,Angangeuo,MIC,19.6,-100.3,1,
6,12/25/15,Pensacola,FL,30.4,-87.2,4,
7,12/25/15,Piney Point,MD,38.1,-76.5,1,
8,12/25/15,Centreville,MD,39.1,-76,1,
9,12/25/15,Bluffton,SC,32.2,-80.9,1,
10,12/25/15,Ciudad Victoria,TAM,23.8,-99.1,1,
11,12/24/15,Pawleys Island,SC,33.4,-79.2,1,
12,12/24/15,Garden Ridge,TX,29.6,-98.3,1,
13,12/24/15,Shreveport,LA,32.5,-93.7,1,
14,12/24/15,San Diego,CA,32.7,-117.1,6,
15,12/23/15,Pawleys Island,SC,33.4,-79.2,1,
16,12/23/15,Seguin,TX,29.5,-97.9,1,
17,12/22/15,Burbank,CA,34.2,-118.3,1,
18,12/22/15,Pismo Beach,CA,35.1,-120.6,20000,
19,12/21/15,Mt. Pleasant,SC,32.8,-79.8,1,
20,12/21/15,Charleston,SC,32.8,-79.9,1,
21,12/20/15,Bluffton,SC,32.2,-80.9,1,
22,12/20/15,Bluffton,SC,32.3,-81,1,
23,12/19/15,VICTORIA,TX,28.9,-97,1,
24,12/16/15,Garden Ridge,TX,29.6,-98.3,1,
25,12/16/15,Atlantic Beach,NC,34.7,-76.8,2,
26,12/15/15,Morehead City,NC,34.7,-76.8,1,
27,12/14/15,Mt. Pleasant,SC,32.8,-79.8,1,
28,12/14/15,Palm Coast,FL,29.5,-81.2,1,
29,12/13/15,Boyds,MD,39.2,-77.3,1,
30,12/13/15,Cape May,NJ,39,-74.9,1,
31,12/13/15,Bluffton,SC,32.2,-80.9,1,
32,12/13/15,Bluffton,SC,32.3,-80.9,1,
33,12/12/15,Cape May Point,NJ,38.9,-75,3,
34,12/12/15,Garden Ridge,TX,29.6,-98.3,1,
35,12/12/15,Corolla,NC,36.3,-75.8,1,
36,12/11/15,Austin,TX,30.2,-97.7,1,
37,12/11/15,Garden Ridge,TX,29.6,-98.3,3,
38,12/11/15,Southport,NC,34.1,-78,2,
39,12/10/15,North Beach Haven,NJ,39.6,-74.2,1,
40,12/10/15,Garden Ridge,TX,29.6,-98.3,2,
41,12/10/15,Seguin,TX,29.5,-97.9,1,
42,12/10/15,Mt. Pleasant,SC,32.8,-79.8,1,
43,12/10/15,Virginia Beach,VA,36.9,-76,1,
44,12/09/15,Leon Valley,TX,29.5,-98.6,2,
45,12/09/15,Lakeland,FL,28,-81.9,2,
46,12/09/15,Garden Ridge,TX,29.6,-98.3,1,
47,12/09/15,Seguin,TX,29.5,-97.9,1,
48,12/08/15,Garden Ridge,TX,29.6,-98.3,1,
49,12/07/15,Tallahassee,FL,30.4,-84.3,3,
50,12/06/15,Pflugerville,TX,30.4,-97.6,2,
51,12/06/15,Seguin,TX,29.5,-97.9,1,
52,12/06/15,Garden Ridge,TX,29.6,-98.3,1,
53,12/06/15,Novato,CA,38.1,-122.6,1,
54,12/06/15,Crosby,TX,29.9,-95.1,1,
55,12/05/15,VICTORIA,TX,28.8,-96.9,9,
56,12/05/15,Galveston,TX,29.3,-94.8,1,
57,12/05/15,Plano,TX,33.1,-96.7,2,
58,12/05/15,Texarkana,TX,33.4,-94.2,1,
59,12/04/15,Garden Ridge,TX,29.6,-98.3,1,
60,12/03/15,VICTORIA,TX,28.9,-97,1,
61,12/03/15,Garden Ridge,TX,29.6,-98.3,2,
62,12/02/15,Garden Ridge,TX,29.6,-98.3,2,
63,12/02/15,Pflugerville,TX,30.4,-97.6,3,
64,12/02/15,Selma,TX,29.6,-98.3,1,
65,12/01/15,SANTA ROSA BEACH,FL,30.4,-86.2,1,
66,12/01/15,Bluffton,SC,32.2,-80.9,1,
67,12/01/15,Okatie,SC,32.3,-81,1,
68,11/29/15,Manhattan Beach,CA,33.9,-118.4,1,
69,11/29/15,Plano,TX,33.1,-96.7,2,
70,11/28/15,Satellite Beach,FL,28.2,-80.6,1,
71,11/28/15,Satellite Beach,FL,28.2,-80.6,1,
72,11/27/15,Royersford,PA,40.2,-75.5,1,
73,11/27/15,Pensacola,FL,30.4,-87.2,1,
74,11/27/15,Bluffton,SC,32.2,-80.9,1,
75,11/26/15,BUFFALO,NY,42.9,-78.9,1,
76,11/26/15,SANTA ROSA BEACH,FL,30.4,-86.2,1,
77,11/25/15,Pflugerville,TX,30.4,-97.6,1,
78,11/25/15,Natalia,TX,29.2,-98.9,1,
79,11/25/15,Gause,TX,30.8,-96.7,1,
80,11/25/15,SANTA ROSA BEACH,FL,30.4,-86.2,2,
81,11/25/15,Marble Falls,TX,30.6,-98.2,1,
82,11/24/15,Willow Beach,AZ,35.9,-114.6,1,
83,11/23/15,Pflugerville,TX,30.4,-97.6,1,
84,11/23/15,Willow Beach,AZ,35.9,-114.6,1,
85,11/23/15,Portland,TX,27.9,-97.3,1,
86,11/22/15,Garden Ridge,TX,29.6,-98.3,1,
87,11/21/15,Ocean Springs,MS,30.4,-88.7,6,
88,11/21/15,Garden Ridge,TX,29.6,-98.3,1,
89,11/21/15,Shreveport,LA,32.5,-93.7,1,
90,11/21/15,Natalia,TX,29.2,-98.9,1,
91,11/20/15,Houston,TX,29.8,-95.4,3,
92,11/20/15,Shreveport,LA,32.5,-93.7,2,
93,11/20/15,Dallas,TX,32.8,-96.8,1,
