,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,12/27/12,Santa Cruz,CA,37.1,-122.2,4000,
2,12/27/12,Santa Cruz,CA,37.1,-122.2,3500,
3,12/26/12,Angangueo,MIC,19.6,-100.3,1,
4,12/26/12,Goleta,CA,34.4,-119.9,1,
5,12/26/12,Pismo Beach,CA,35.1,-120.6,1,
6,12/26/12,Ventura,CA,34.3,-119.3,1,
7,12/26/12,Pacific Grove,CA,36.6,-121.9,1,
8,12/26/12,Ventura,CA,34.3,-119.2,1,
9,12/22/12,Katy,TX,29.8,-95.7,2,
10,12/18/12,Horseshoe Bay,TX,30.5,-98.4,1,
11,12/17/12,Miami,FL,25.8,-80.2,1,
12,12/16/12,Mercedes,TX,26.1,-97.9,2,
13,12/16/12,Las Jaras,MIC,19.7,-100.3,10000,
14,12/09/12,Gulfshores,AL,30.2,-88,11,
15,12/08/12,Sugar Land,TX,29.6,-95.6,5,
16,12/08/12,Cantonment,FL,30.6,-87.3,1,
17,12/08/12,La Habra,CA,33.9,-118,1,
18,12/05/12,Mary Esther,FL,30.4,-86.8,2,
19,12/04/12,Ormond Beach,FL,29.3,-81.1,1,
20,12/04/12,Saint Petersburg,FL,27.8,-82.7,1,
21,12/03/12,Katy,TX,29.8,-95.7,2,
22,12/03/12,Salado,TX,30.9,-97.6,4,
23,12/03/12,Houston,TX,29.8,-95.4,5,
24,12/02/12,houma,LA,29.6,-90.8,1,
25,12/02/12,Indio,CA,33.7,-116.2,1,
26,12/02/12,Saginaw,TX,32.9,-97.4,6,
27,12/02/12,Wichita Falls,TX,34,-98.5,1,
28,12/02/12,Honaunau,HI,19.4,-155.9,1,
29,12/02/12,Sandia,TX,28.1,-98,2,
30,12/01/12,Savannah,GA,32,-81,25,
31,11/30/12,austin,TX,30.2,-97.7,1,
32,11/28/12,Tucson,AZ,32.2,-111,2,
33,11/28/12,Katy,TX,29.8,-95.7,1,
34,11/27/12,Useppa Island,FL,26.7,-82.2,5,
35,11/27/12,Atlantic Beach,FL,30.4,-81.4,1,
36,11/26/12,Jacksonville,FL,30.3,-81.8,3,
37,11/25/12,Burkburnett,TX,34.1,-98.6,1,
38,11/24/12,Dallas,TX,32.8,-96.8,1,
39,11/24/12,Baton Rouge,LA,30.4,-91.2,2,
40,11/23/12,Mercedes,TX,26.1,-97.9,1,
41,11/23/12,Monterrey,NL,25.7,-100.3,5,
42,11/23/12,Egmont Key,FL,39,-77.3,4,
43,11/22/12,Sugar Land,TX,29.6,-95.6,6,
44,11/22/12,Mercedes,TX,26.1,-97.9,1,
45,11/22/12,Apopka,FL,28.7,-81.5,1,
46,11/22/12,Apopka,FL,28.7,-81.5,1,
47,11/21/12,Baton Rouge,LA,30.4,-91.2,2,
48,11/21/12,Horseshoe Bay,TX,30.5,-98.4,1,
49,11/21/12,Sarasota,FL,27.3,-82.5,2,
50,11/20/12,Katy,TX,29.8,-95.7,4,
51,11/20/12,Arlington,TX,32.6,-97.2,2,
52,11/20/12,Killeen,TX,31.1,-97.7,1,
53,11/20/12,Acuna,COA,29,-101,24,
54,11/19/12,Fort Walton Beach,FL,30.4,-86.6,1,
55,11/19/12,Las Vegas,NV,36.1,-115.3,1,
56,11/18/12,HARLINGEN,TX,26.2,-97.7,1,
57,11/18/12,Fort Walton Beach,FL,30.4,-86.6,1,
58,11/18/12,El Segundo,CA,33.9,-118.4,2,
59,11/18/12,Lake City,FL,30.1,-82.7,2,
60,11/17/12,Tupelo,MS,34.3,-88.7,1,
61,11/16/12,Baton Rouge,LA,30.4,-91.2,1,
62,11/16/12,Fire Island,NY,40.6,-73.3,1,
63,11/16/12,Los Pinolillos,NL,25.6,-100.1,2,
64,11/15/12,Chandler,AZ,33.3,-111.9,4,
65,11/14/12,Chalk Mountain,TX,32.1,-97.9,1,
66,11/14/12,Denton,TX,33.2,-97.1,1,
67,11/14/12,Fort Walton Beach,FL,30.4,-86.6,1,
68,11/14/12,Baton Rouge,LA,30.4,-91.2,2,
69,11/14/12,Kerrville,TX,30,-99.1,4,
70,11/13/12,Vero Beach,FL,27.6,-80.4,1,
71,11/13/12,Palacios,TX,28.7,-96.1,7,
72,11/12/12,Salado,TX,30.9,-97.6,6,
73,11/12/12,Lawrenceville,GA,34,-84,1,
74,11/12/12,FEASTERVILLE TREVOSE,PA,40.1,-75,6,
75,11/12/12,Sugar Land,TX,29.6,-95.6,5,
76,11/11/12,Douglassville,TX,33.2,-94.4,1,
77,11/11/12,Kerrville,TX,30,-99.1,7,
78,11/11/12,Lindale,TX,32.5,-95.4,1,
79,11/11/12,Apopka,FL,28.7,-81.5,1,
80,11/11/12,Surry,VA,37.1,-76.8,1,
81,11/11/12,Austin,TX,30.2,-97.7,1,
82,11/11/12,Salado,TX,30.9,-97.6,5,
83,11/11/12,Largo,FL,27.9,-82.8,8,
84,11/10/12,Winston-Salem,NC,36.1,-80.2,1,
85,11/10/12,Scottsdale,AZ,33.5,-111.9,11,
86,11/09/12,Kerrville,TX,30,-99.1,5,
87,11/09/12,Ramos Arizpe,COA,25.6,-101,2,
88,11/08/12,Cameron,TX,30.8,-97,4,
89,11/08/12,Orange,TX,30.1,-93.8,4,
90,11/08/12,Morgan City,LA,29.8,-91.2,5,
91,11/08/12,Morgan City,LA,29.8,-91.2,2,
92,11/08/12,CIBOLO,TX,29.6,-98.2,1,
93,11/08/12,Mer Rouge,LA,32.8,-91.7,2,
94,11/08/12,Lake Possum Kingdom,TX,32.9,-98.4,5,
95,11/08/12,garner state park,TX,30.2,-97.8,1,
96,11/07/12,Dallas,TX,32.8,-96.8,1,
97,11/07/12,Pasadena,CA,34.1,-118.2,1,
98,11/07/12,Buffalo Gap,TX,32.2,-99.9,1,
99,11/07/12,Katy,TX,29.8,-95.7,6,
100,11/07/12,Fulshear,TX,29.7,-95.9,6,
101,11/07/12,Auburndale,FL,28.1,-81.8,1,
102,11/07/12,Rio Medina,TX,29.5,-98.9,5,
103,11/07/12,Corpus Christi,TX,27.8,-97.4,10,
104,11/07/12,Atlantic Beach,FL,30.3,-81.4,2,
105,11/07/12,Palestine,TX,31.8,-95.6,4,
106,11/07/12,Cypress,TX,30,-95.7,2,
107,11/07/12,houston,TX,29.8,-95.4,4,
108,11/07/12,San Antonio,TX,29.5,-98.5,2,
109,11/07/12,"Sugar Land, Texas",TX,29.6,-95.6,25,
110,11/07/12,Lost Maples State Park,TX,30.2,-97.8,1,
111,11/07/12,Muzquiz,COA,27.9,-101.5,5,
112,11/06/12,Claremore,OK,36.3,-95.6,2,
113,11/06/12,Katy,TX,29.8,-95.7,1,
114,11/06/12,austin,TX,30.2,-97.7,2,
115,11/06/12,Pasadena,CA,34.1,-118.2,2,
116,11/06/12,sanibel,FL,26.5,-82.1,3,
117,11/06/12,New Braunfels,TX,29.7,-98.1,1,
118,11/06/12,Livermore,CA,37.6,-121.7,1,
119,11/06/12,League City,TX,29.5,-95.1,4,
120,11/06/12,Mira Loma,CA,34,-117.5,1,
121,11/05/12,Wellborn,FL,30.2,-82.9,1,
122,11/05/12,Half moon bay,CA,37.5,-122.4,1,
123,11/05/12,Katy,TX,29.8,-95.7,6,
124,11/05/12,Orangefield,TX,30.1,-93.9,4,
125,11/05/12,austin,TX,30.2,-97.7,9,
126,11/05/12,Tarpley,TX,29.7,-99.4,3,
127,11/05/12,Window Rock,NM,36.5,-105.1,1,
128,11/05/12,Denton,TX,33.2,-97.1,6,
129,11/05/12,Douglassville,TX,33.2,-94.4,1,
130,11/05/12,Austin,TX,30.2,-97.7,1,
131,11/05/12,Marble Falls,TX,30.6,-98.2,1,
132,11/05/12,Pasadena,CA,34.1,-118.2,2,
133,11/05/12,Mission Viejo,CA,33.6,-117.6,1,
134,11/05/12,texarkana,TX,33.4,-94.2,6,
135,11/04/12,McKinney,TX,33.2,-96.6,8,
136,11/04/12,Lake Possum Kingdom,TX,32.9,-98.4,50,
137,11/04/12,Tarpley,TX,29.7,-99.4,1,
138,11/04/12,Tarpley,TX,29.7,-99.4,1,
139,11/04/12,Chalk Mountain,TX,32.1,-97.9,1,
140,11/04/12,"Kyle, TX",TX,30,-98.9,100,
141,11/03/12,Moreno Valley,CA,34,-117.2,2,
142,11/03/12,Mer Rouge,LA,32.8,-91.7,1,
143,11/03/12,Allen,TX,33.1,-96.6,1,
144,11/03/12,Pasadena,CA,34.1,-118.2,1,
145,11/02/12,Douglassville,TX,33.2,-94.4,1,
146,11/02/12,Saginaw,TX,32.9,-97.4,4,
147,11/02/12,Sugar Land,TX,29.6,-95.6,5,
148,11/02/12,Decatur,GA,33.8,-84.3,1,
149,11/02/12,La Vernia,TX,29.4,-98.1,1,
150,11/02/12,Lawrenceville,GA,34,-84,1,
151,11/02/12,"Live Oak, Florida",FL,30.3,-83,1,
152,11/02/12,Austin,TX,30.2,-97.7,10,
153,11/02/12,Pasadena,CA,34.1,-118.2,2,
154,11/02/12,Athens,GA,34,-83.4,1,
155,11/02/12,Hephzibah,GA,33.3,-82.1,2,
156,11/01/12,Cameron,TX,30.8,-97,6,
157,11/01/12,Port Saint Lucie,FL,27.3,-80.4,1,
158,11/01/12,Pensacola,FL,30.4,-87.2,12,
159,11/01/12,Bergheim,TX,29.8,-98.6,1,
160,11/01/12,Monroe,LA,32.5,-92.1,1,
161,11/01/12,austin,TX,30.2,-97.7,9,
162,11/01/12,Maxwell,TX,29.9,-97.8,1,
163,11/01/12,Mercedes,TX,26.1,-97.9,2,
164,11/01/12,Weslaco,TX,26.2,-98,1,
165,11/01/12,Chalk Mountain,TX,32.1,-97.9,1,
166,11/01/12,La Vernia,TX,29.4,-98.1,2,
167,11/01/12,Mystic,CT,41.4,-72,2,
168,11/01/12,W Melbourne,FL,28.1,-80.7,3,
169,11/01/12,Pasadena,CA,34.1,-118.2,2,
170,10/31/12,Harrisville,MI,44.6,-83.4,1,
171,10/31/12,Arlington,TX,32.6,-97.2,1,
172,10/31/12,Baton Rouge,LA,30.4,-91.2,1,
173,10/31/12,caddo mills,TX,33.1,-96.2,1,
174,10/31/12,Saginaw,TX,32.9,-97.4,2,
175,10/31/12,Hahira,GA,31,-83.4,1,
176,10/31/12,Greenville,MS,33.3,-91,1,
177,10/31/12,Tarpley,TX,29.7,-99.4,5,
178,10/31/12,Marble Falls,TX,30.6,-98.2,6,
179,10/31/12,San Antonio,TX,29.5,-98.5,7,
180,10/31/12,Marsh Harbour,Central Abaco,26.5,-77,1,
181,10/31/12,Grapevine,TX,32.9,-97.1,1,
182,10/31/12,cameron,TX,30.8,-97,2,
183,10/31/12,Katy,TX,29.8,-95.7,12,
184,10/31/12,Austin,TX,30.2,-97.7,3,
185,10/31/12,Kress,TX,34.4,-101.7,1,
186,10/31/12,La Vernia,TX,29.4,-98.1,3,
187,10/31/12,Pearland,TX,29.6,-95.3,3,
188,10/31/12,Pasadena,CA,34.1,-118.2,4,
189,10/31/12,Hephzibah,GA,33.3,-82.1,3,
190,10/30/12,Friendswood,TX,29.5,-95.2,3,
191,10/30/12,Katy,TX,29.8,-95.7,3,
192,10/30/12,Bergheim,TX,29.8,-98.6,1,
193,10/30/12,Benton,AR,34.6,-92.7,2,
194,10/30/12,La Vernia,TX,29.4,-98.1,1,
195,10/30/12,South Padre Island,TX,26.4,-97.2,1,
196,10/30/12,Spartanburg,SC,34.9,-82,2,
197,10/30/12,Telchac,YUC,21.3,-89.3,3,
198,10/30/12,sunset valley,TX,30.2,-97.8,1,
199,10/30/12,Bridport,VT,43.9,-73.4,1,
200,10/30/12,San Nicolas de los Garza,NL,25.8,-100.3,1,
201,10/29/12,Monterrey,NL,25.7,-100.3,100,
202,10/29/12,Corinth,TX,33.2,-97.1,5,
203,10/29/12,Austin,TX,30.2,-97.7,2,
204,10/29/12,Hunting Island State Park South Car,SC,32.4,-80.5,30,
205,10/29/12,Guadalupe,NL,25.8,-100,3,
206,10/29/12,austin,TX,30.2,-97.7,10,
207,10/29/12,Cooper,TX,33.4,-95.6,1,
208,10/29/12,Pawnee,OK,36.3,-96.8,1,
209,10/29/12,La Habra,CA,33.9,-118,1,
210,10/29/12,Austin,TX,30.2,-97.7,10,
211,10/29/12,Piedras Negras,COA,28.4,-100.3,1,
212,10/29/12,Murrells Inlet,SC,33.5,-79.1,1,
213,10/28/12,Flowery Branch,GA,34.2,-83.9,1,
214,10/28/12,"San Antonio, Texas, USA 78209",TX,29.7,-98.6,1,
215,10/28/12,Pomona,CA,34,-117.8,5,
216,10/28/12,Austin,TX,30.2,-97.7,20,
217,10/28/12,Monroe,LA,32.5,-92.1,1,
218,10/28/12,Mechanicville,NY,42.9,-73.7,1,
219,10/28/12,Houston,TX,29.8,-95.4,1,
220,10/28/12,New Braunfels,TX,29.7,-98.1,2,
221,10/28/12,Port Saint Lucie,FL,27.3,-80.4,3,
222,10/28/12,Santa Catarina,NL,25.7,-100.5,3,
223,10/28/12,Los Pinolillos,NL,25.6,-100.1,47,
224,10/28/12,Marquez,TX,31.2,-96.2,1,
225,10/28/12,Bullock Harbour,Berry Islands,25.7,-77.9,1,
