Unnamed: 0,Date,Town,State/Province,Latitude,Longitude,Number,Image,Year
1,12/31/19,Laguna Niguel,CA,33.5,-117.7,3,,2019
2,12/31/19,Pass Christian,MS,30.3,-89.2,1,,2019
3,12/30/19,Santa Rosa Beach,FL,30.3,-86.2,1,,2019
4,12/29/19,Corpus Christi,TX,27.7,-97.3,1,,2019
5,12/28/19,New Orleans,LA,29.9,-90.1,1,,2019
6,12/28/19,Port O Connor,TX,28.5,-96.4,1,,2019
7,12/28/19,Santa Cruz,CA,37.0,-122.0,3,,2019
8,12/27/19,Bluffton,SC,32.2,-80.9,1,,2019
9,12/27/19,Mount Pleasant,SC,32.8,-79.9,2,,2019
10,12/27/19,Miami,FL,25.7,-80.4,4,,2019
11,12/27/19,Palacios,TX,28.8,-96.4,3,,2019
12,12/27/19,New Orleans,LA,30.0,-90.1,4,,2019
13,12/26/19,Clearwater,FL,28.0,-82.8,1,,2019
14,12/26/19,Ormond Beach,FL,29.3,-81.1,1,,2019
15,12/26/19,Corpus Christi,TX,27.7,-97.3,1,,2019
16,12/25/19,Pass Christian,MS,30.3,-89.2,1,,2019
17,12/25/19,Clearwater,FL,28.0,-82.8,1,,2019
18,12/25/19,Port O Connor,TX,28.5,-96.4,1,,2019
19,12/24/19,Missouri City,TX,29.6,-95.6,2,,2019
20,12/24/19,Corpus Christi,TX,27.8,-97.4,1,,2019
21,12/24/19,Cypress,TX,29.9,-95.7,2,,2019
22,12/23/19,Miami,FL,25.7,-80.4,4,,2019
23,12/23/19,Corpus Christi,TX,27.8,-97.4,1,,2019
24,12/22/19,Corpus Christi,TX,27.8,-97.4,1,,2019
25,12/21/19,Laguna Niguel,CA,33.6,-117.7,1,,2019
26,12/20/19,Spring Valley,CA,32.7,-117.0,3,,2019
27,12/20/19,Pass Christian,MS,30.3,-89.2,1,,2019
28,12/20/19,Crawfordville,FL,30.1,-84.2,3,,2019
29,12/20/19,Corpus Christi,TX,27.7,-97.3,3,,2019
30,12/20/19,Tucson,AZ,32.2,-111.0,1,,2019
31,12/20/19,Matagorda Island,TX,28.2,-96.8,2,,2019
32,12/18/19,Corpus Christi,TX,27.7,-97.3,2,,2019
33,12/17/19,Gainesville,FL,29.6,-82.3,2,,2019
34,12/17/19,Tybee Island,GA,32.0,-80.8,1,,2019
35,12/16/19,Clearwater,FL,28.0,-82.8,1,,2019
36,12/16/19,Pass Christian,MS,30.3,-89.2,1,,2019
37,12/16/19,Palacios,TX,28.6,-96.1,1,,2019
38,12/15/19,New Orleans,LA,29.9,-90.1,1,,2019
39,12/15/19,Missouri City,TX,29.6,-95.6,2,,2019
40,12/15/19,La Quinta,CA,33.7,-116.3,2,,2019
41,12/13/19,Missouri City,TX,29.6,-95.6,3,,2019
42,12/13/19,Brazoria,TX,28.9,-95.5,2,,2019
43,12/12/19,Austin,TX,30.3,-97.8,1,,2019
44,12/11/19,Corte Madera,CA,37.9,-122.5,1,,2019
45,12/11/19,Spring Valley,CA,32.7,-117.0,2,,2019
46,12/11/19,Orlando,FL,28.5,-81.3,1,,2019
47,12/10/19,Ocala,FL,29.2,-82.1,1,,2019
48,12/10/19,Smyrna,NC,34.8,-76.5,2,,2019
49,12/09/19,Austin,TX,30.3,-97.7,20,,2019
50,12/09/19,Spring Valley,CA,32.7,-117.0,1,,2019
51,12/08/19,Clearwater,FL,28.0,-82.8,1,,2019
52,12/08/19,League City,TX,29.5,-95.0,4,,2019
53,12/07/19,Robstown,TX,27.9,-97.7,2,,2019
54,12/07/19,Frederiksted Southeast,St Croix,17.7,-64.8,1,,2019
55,12/06/19,Corpus Christi,TX,27.7,-97.3,1,,2019
56,12/06/19,Austin,TX,30.3,-97.7,1,,2019
57,12/06/19,Missouri City,TX,29.6,-95.6,4,,2019
58,12/05/19,Naples,FL,26.1,-81.8,1,,2019
59,12/05/19,Clearwater,FL,28.0,-82.8,1,,2019
