Unnamed: 0,Date,Town,State/Province,Latitude,Longitude,Number,Image,Year
1,12/30/13,san Clemente,CA,33.4,-117.6,1,,2013
2,12/29/13,Houston,TX,29.8,-95.4,1,,2013
3,12/26/13,Angangueo,MIC,19.6,-100.3,1,,2013
4,12/25/13,Boerne,TX,29.8,-98.8,1,,2013
5,12/22/13,Kerrville,TX,30.0,-99.1,1,,2013
6,12/22/13,San AgustÃ­n Ahuehuetla,PUE,18.8,-98.2,1,,2013
7,12/21/13,Houston,TX,29.8,-95.4,1,,2013
8,12/21/13,Costa Mesa,CA,33.7,-117.9,1,,2013
9,12/17/13,Katy,TX,29.8,-95.7,1,,2013
10,12/16/13,Rosenberg,TX,29.5,-95.9,1,,2013
11,12/15/13,new smyrna beach,FL,29.0,-81.1,1,,2013
12,12/15/13,Kingwood,TX,30.0,-95.3,1,,2013
13,12/13/13,Ellabell,GA,32.1,-81.5,1,,2013
14,12/12/13,Santa Cruz,CA,37.0,-122.1,1,,2013
15,12/11/13,Valrico,FL,27.9,-82.2,3,,2013
16,12/10/13,Moreno Valley,CA,34.0,-117.2,1,,2013
17,12/10/13,Mary Esther,FL,30.4,-86.8,1,,2013
18,12/09/13,Ocala,FL,29.2,-82.1,1,,2013
19,12/08/13,Tallahassee,FL,30.4,-84.3,1,,2013
20,12/04/13,Rogers,TX,31.0,-97.2,1,,2013
21,12/02/13,Salado,TX,30.9,-97.6,7,,2013
22,12/02/13,Eagle Pass,TX,28.5,-100.5,2,,2013
23,12/02/13,Austin,TX,30.2,-97.7,1,,2013
24,12/02/13,Pasadena,CA,34.1,-118.2,1,,2013
25,12/02/13,Salado,TX,30.9,-97.6,8,,2013
26,12/02/13,Pattison,TX,29.8,-96.0,1,,2013
27,12/01/13,Austin,TX,30.2,-97.7,1,,2013
28,12/01/13,Long Beach,CA,33.8,-118.2,2,,2013
29,12/01/13,Ruskin,FL,27.7,-82.5,1,,2013
30,11/29/13,Salado,TX,30.9,-97.6,2,,2013
31,11/29/13,Katy,TX,29.8,-95.7,1,,2013
32,11/28/13,Austin,TX,30.2,-97.7,1,,2013
33,11/27/13,Alamogordo,NM,32.8,-106.1,1,,2013
34,11/27/13,Alamogordo,NM,32.8,-106.1,1,,2013
35,11/25/13,Austin,TX,30.2,-97.7,1,,2013
36,11/24/13,St George Island,FL,42.2,-84.4,3,,2013
37,11/23/13,Half moon bay,CA,37.5,-122.4,1,,2013
38,11/23/13,Inverness,FL,28.8,-82.3,3,,2013
39,11/23/13,Long Beach,CA,33.8,-118.2,1,,2013
40,11/22/13,Austin,TX,30.2,-97.7,12,,2013
41,11/21/13,Austin,TX,30.2,-97.7,1,,2013
42,11/21/13,austin,TX,30.2,-97.7,2,,2013
43,11/20/13,Cutler Bay,FL,25.6,-80.3,5,,2013
44,11/20/13,Horseshoe Bay,TX,30.5,-98.4,1,,2013
45,11/19/13,Katy,TX,29.8,-95.7,2,,2013
46,11/19/13,Salado,TX,30.9,-97.6,6,,2013
47,11/19/13,Katy,TX,29.8,-95.7,5,,2013
48,11/19/13,San Antonio,TX,29.5,-98.5,1,,2013
