Unnamed: 0,Date,Town,State/Province,Latitude,Longitude,Number,Image,Year
1,12/27/15,Damon,TX,29.3,-95.7,1,,2015
2,12/27/15,Bluffton,SC,32.2,-80.9,1,,2015
3,12/27/15,Bluffton,SC,32.2,-80.9,1,,2015
4,12/26/15,Humble,TX,30.0,-95.2,1,,2015
5,12/26/15,Angangeuo,MIC,19.6,-100.3,1,,2015
6,12/25/15,Pensacola,FL,30.4,-87.2,4,,2015
7,12/25/15,Piney Point,MD,38.1,-76.5,1,,2015
8,12/25/15,Centreville,MD,39.1,-76.0,1,,2015
9,12/25/15,Bluffton,SC,32.2,-80.9,1,,2015
10,12/25/15,Ciudad Victoria,TAM,23.8,-99.1,1,,2015
11,12/24/15,Pawleys Island,SC,33.4,-79.2,1,,2015
12,12/24/15,Garden Ridge,TX,29.6,-98.3,1,,2015
13,12/24/15,Shreveport,LA,32.5,-93.7,1,,2015
14,12/24/15,San Diego,CA,32.7,-117.1,6,,2015
15,12/23/15,Pawleys Island,SC,33.4,-79.2,1,,2015
16,12/23/15,Seguin,TX,29.5,-97.9,1,,2015
17,12/22/15,Burbank,CA,34.2,-118.3,1,,2015
18,12/22/15,Pismo Beach,CA,35.1,-120.6,20000,,2015
19,12/21/15,Mt. Pleasant,SC,32.8,-79.8,1,,2015
20,12/21/15,Charleston,SC,32.8,-79.9,1,,2015
21,12/20/15,Bluffton,SC,32.2,-80.9,1,,2015
22,12/20/15,Bluffton,SC,32.3,-81.0,1,,2015
23,12/19/15,VICTORIA,TX,28.9,-97.0,1,,2015
24,12/16/15,Garden Ridge,TX,29.6,-98.3,1,,2015
25,12/16/15,Atlantic Beach,NC,34.7,-76.8,2,,2015
26,12/15/15,Morehead City,NC,34.7,-76.8,1,,2015
27,12/14/15,Mt. Pleasant,SC,32.8,-79.8,1,,2015
28,12/14/15,Palm Coast,FL,29.5,-81.2,1,,2015
29,12/13/15,Boyds,MD,39.2,-77.3,1,,2015
30,12/13/15,Cape May,NJ,39.0,-74.9,1,,2015
31,12/13/15,Bluffton,SC,32.2,-80.9,1,,2015
32,12/13/15,Bluffton,SC,32.3,-80.9,1,,2015
33,12/12/15,Cape May Point,NJ,38.9,-75.0,3,,2015
34,12/12/15,Garden Ridge,TX,29.6,-98.3,1,,2015
35,12/12/15,Corolla,NC,36.3,-75.8,1,,2015
36,12/11/15,Austin,TX,30.2,-97.7,1,,2015
