,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,12/31/22,West Palm Beach,FL,26.8,-80,2,
2,12/31/22,EstaciÃ³n Santa Engracia,TAM,24,-99.3,6,
3,12/30/22,Jacksonville Beach,FL,30.3,-81.4,1,
4,12/30/22,Palmarejo,PR,18.3,-66.3,1,
5,12/30/22,New Ringgold,PA,40.6,-76,0,
6,12/29/22,Keystone Heights,FL,29.8,-82,2,
7,12/29/22,Bush,LA,30.6,-90,1,
8,12/29/22,Summerdale,AL,30.5,-87.7,1,
9,12/29/22,Palmarejo,PR,18.3,-66.3,3,
10,12/28/22,Panama City Beach,FL,30.3,-86,2,
11,12/28/22,West Palm Beach,FL,26.8,-80,1,
12,12/28/22,New Orleans,LA,30,-90.1,1,
13,12/28/22,Rockport,TX,28.1,-97,1,
14,12/28/22,Gainesville,FL,29.7,-82.4,2,
15,12/28/22,Palmarejo,PR,18.3,-66.3,2,
16,12/27/22,Pasadena,TX,29.7,-95.1,1,
17,12/27/22,West Palm Beach,FL,26.8,-80,1,
18,12/27/22,Orange Beach,AL,30.3,-87.6,2,
19,12/27/22,Corpus Christi,TX,27.7,-97.4,1,
20,12/27/22,El Segundo,CA,33.9,-118.4,2,
21,12/27/22,Palmarejo,PR,18.3,-66.3,1,
22,12/26/22,Pearland,TX,29.6,-95.2,1,
23,12/26/22,Summerdale,AL,30.5,-87.7,1,
24,12/26/22,Las Vegas,NV,36.1,-115.2,2,
25,12/26/22,Palmarejo,PR,18.3,-66.3,1,
26,12/25/22,Tucson,AZ,32.2,-110.8,1,
27,12/25/22,Palmarejo,PR,18.3,-66.3,2,
28,12/25/22,Hemet,CA,33.7,-117,1,
29,12/24/22,Mountain View,CA,37.4,-122.1,11,
30,12/24/22,Palmarejo,PR,18.3,-66.3,3,
31,12/23/22,Fort Myers,FL,26.6,-81.9,1,
32,12/23/22,West Palm Beach,FL,26.8,-80,2,
33,12/23/22,Hendersonville,NC,35.3,-82.5,10,
34,12/22/22,Murfreesbooro,TN,39.2,-76.9,3,
35,12/22/22,Sunnyvale,CA,37.4,-122.1,1,
36,12/22/22,Palmarejo,PR,18.3,-66.3,1,
37,12/21/22,Murfreesbooro,TN,39.2,-76.9,2,
38,12/21/22,Port Aransas,TX,27.8,-97.1,1,
39,12/21/22,El Segundo,CA,33.9,-118.4,8,
40,12/20/22,West Palm Beach,FL,26.8,-80,1,
41,12/20/22,Palmarejo,PR,18.3,-66.3,1,
42,12/19/22,St Simons Island,GA,31.2,-81.4,1,
43,12/19/22,West Palm Beach,FL,26.8,-80,2,
44,12/19/22,Orange Park,FL,30.2,-81.8,1,
45,12/19/22,Hilton Head Island,SC,32.2,-80.8,2,
46,12/18/22,Palmarejo,PR,18.3,-66.3,1,
47,12/18/22,Mcveytown,PA,40.5,-77.8,0,
48,12/17/22,Corpus Christi,TX,27.8,-97.4,1,
49,12/17/22,West Palm Beach,FL,26.8,-80,1,
50,12/17/22,Green Valley,AZ,31.9,-111,3,
51,12/17/22,Menard,TX,30.6,-99.7,1,
52,12/17/22,Mountain View,CA,37.4,-122.1,13,
53,12/17/22,Tucson,AZ,32.3,-111,5,
54,12/16/22,Houston,TX,29.7,-95.3,2,
55,12/16/22,Houston,TX,29.7,-95.4,2,
56,12/16/22,Houston,TX,29.8,-95.4,1,
57,12/16/22,Long Beach,CA,33.8,-118.2,1,
58,12/16/22,San Juan Capistrano,CA,33.5,-117.7,1,
59,12/16/22,Palmarejo,PR,18.3,-66.3,1,
60,12/15/22,Summerdale,AL,30.5,-87.7,2,
61,12/15/22,Pearland,TX,29.6,-95.3,2,
62,12/15/22,West Palm Beach,FL,26.8,-80,2,
63,12/15/22,Houston,TX,29.7,-95.4,2,
64,12/15/22,Houston,TX,29.8,-95.4,1,
65,12/15/22,Houston,TX,29.8,-95.4,2,
66,12/15/22,El Segundo,CA,33.9,-118.4,5,
67,12/15/22,Palmarejo,PR,18.3,-66.3,2,
68,12/14/22,Bay St Louis,MS,30.3,-89.3,1,
69,12/14/22,West Palm Beach,FL,26.8,-80,1,
70,12/14/22,Austin,TX,30.3,-97.7,1,
71,12/14/22,Summerdale,AL,30.5,-87.7,2,
72,12/14/22,Thibodaux,LA,29.8,-90.8,5,
73,12/14/22,Palmarejo,PR,18.3,-66.3,3,
74,12/14/22,New Ringgold,PA,40.6,-76,0,
75,12/13/22,Marion Oaks,FL,29,-82.2,1,
76,12/13/22,West Palm Beach,FL,26.8,-80,2,
77,12/13/22,Summerfield,FL,29,-82,1,
78,12/13/22,Houston,TX,29.7,-95.4,1,
79,12/13/22,Palmarejo,PR,18.3,-66.3,2,
80,12/13/22,Houston,TX,29.7,-95.4,1,
81,12/13/22,New Ringgold,PA,40.6,-76,0,
82,12/12/22,West Palm Beach,FL,26.8,-80,1,
83,12/12/22,Gretna,LA,29.9,-90,2,
84,12/12/22,Palmarejo,PR,18.3,-66.3,2,
85,12/12/22,Alligator Point,FL,29.9,-84.4,20,
86,12/12/22,New Ringgold,PA,40.6,-76,0,
87,12/11/22,Corpus Christi,TX,27.8,-97.4,1,
88,12/11/22,West Palm Beach,FL,26.8,-80,3,
89,12/11/22,Spring,TX,30,-95.5,2,
90,12/11/22,Palmarejo,PR,18.3,-66.3,3,
91,12/11/22,Pacific Grove,CA,36.6,-121.9,1,
92,12/10/22,Santa Rosa Beach,FL,30.3,-86.2,1,
93,12/10/22,Key West,FL,24.6,-81.7,5,
94,12/10/22,San Antonio,TX,29.6,-98.5,1,
95,12/10/22,Bay St Louis,MS,30.3,-89.3,1,
96,12/10/22,Foley,AL,30.4,-87.7,1,
97,12/10/22,Edinburg,TX,26.3,-98.2,2,
98,12/10/22,Orlando,FL,28.6,-81.4,3,
99,12/10/22,Fort Pierce,FL,27.4,-80.3,1,
100,12/10/22,West Palm Beach,FL,26.8,-80,2,
101,12/10/22,Corozal,PR,18.3,-66.3,2,
102,12/10/22,Houston,TX,29.7,-95.4,2,
103,12/10/22,Houston,TX,29.7,-95.4,1,
104,12/10/22,Houston,TX,29.7,-95.4,1,
105,12/10/22,New Ringgold,PA,40.6,-76,0,
106,12/09/22,Rosenberg,TX,29.5,-95.7,1,
107,12/09/22,West Palm Beach,FL,26.8,-80,4,
108,12/09/22,Fulton,TX,28.1,-97.1,1,
109,12/09/22,Houston,TX,29.7,-95.4,1,
110,12/09/22,Houston,TX,29.8,-95.4,2,
111,12/09/22,Gulfport,MS,30.4,-89.1,1,
112,12/09/22,Tucson,AZ,32.3,-110.9,3,
113,12/09/22,Houston,TX,29.7,-95.4,2,
114,12/09/22,New Ringgold,PA,40.6,-76,0,
115,12/08/22,Hutto,TX,30.5,-97.6,1,
116,12/08/22,West Palm Beach,FL,26.8,-80,2,
117,12/08/22,Sugar Land,TX,29.6,-95.6,7,
118,12/08/22,Hilton Head Island,SC,32.3,-80.8,1,
119,12/08/22,Sugar Land,TX,29.6,-95.6,2,
120,12/08/22,New Orleans,LA,29.9,-90.1,1,
121,12/08/22,Gulf Shores,AL,30.2,-87.7,6,
122,12/08/22,Lafayette,LA,30.2,-92.1,1,
123,12/08/22,Edinburg,TX,26.3,-98.2,1,
124,12/08/22,Summerfield,FL,29,-82,3,
125,12/08/22,Rockport,TX,28.1,-97.1,1,
126,12/08/22,Gause,TX,30.7,-96.7,1,
127,12/08/22,Cibolo,TX,29.6,-98.2,1,
128,12/08/22,Houston,TX,29.9,-95.7,2,
129,12/08/22,Palmarejo,PR,18.3,-66.3,2,
130,12/08/22,Tucson,AZ,32.3,-111,3,
131,12/08/22,New Ringgold,PA,40.6,-76,0,
