,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,12/31/21,Kenner,LA,30,-90.3,2,
2,12/31/21,Pace,FL,30.6,-87.1,1,
3,12/31/21,Clearwater,FL,28,-82.7,1,
4,12/31/21,St. Petersburg,FL,27.8,-82.7,1,
5,12/31/21,Clearwater,FL,28,-82.8,2,
6,12/31/21,Richmond,TX,29.7,-95.8,4,
7,12/31/21,Spring,TX,30,-95.5,1,
8,12/31/21,Dallas,TX,32.7,-96.8,1,
9,12/31/21,Metairie,LA,30,-90.2,1,
10,12/31/21,Jacksonville,FL,30.3,-81.6,2,
11,12/31/21,North Charleston,SC,32.9,-80,1,
12,12/31/21,Middleburg,FL,30.1,-81.9,1,
13,12/31/21,Hollywood,SC,32.7,-80.2,1,
14,12/31/21,St. Petersburg,FL,27.8,-82.6,1,
15,12/31/21,Fort Worth,TX,32.8,-97.2,2,
16,12/31/21,The Villages,FL,28.9,-82,2,
17,12/31/21,San Antonio,TX,29.6,-98.3,10,
18,12/31/21,North Palm Beach,FL,26.8,-80.1,1,
19,12/31/21,Kingsland,GA,30.8,-81.6,1,
20,12/31/21,Valrico,FL,27.9,-82.2,1,
21,12/31/21,Pensacola,FL,30.4,-87.2,2,
22,12/31/21,Houston,TX,29.8,-95.3,1,
23,12/31/21,New Braunfels,TX,29.7,-98.1,1,
24,12/31/21,Savannah,GA,32.1,-81.1,6,
25,12/31/21,Gulf Breeze,FL,30.4,-87.1,1,
26,12/31/21,Houston,TX,30,-95.2,4,
27,12/31/21,Houston,TX,29.8,-95.4,2,
28,12/31/21,San Antonio,TX,29.7,-98.5,3,
29,12/31/21,San Antonio,TX,29.5,-98.6,20,
30,12/31/21,Slidell,LA,30.3,-89.8,1,
31,12/31/21,San Antonio,TX,29.5,-98.6,20,
32,12/31/21,Nederland,TX,30,-94,2,
33,12/31/21,Englewood,FL,26.9,-82.3,2,
34,12/31/21,Baton Rouge,LA,30.4,-91,1,
