Unnamed: 0,Date,Town,State/Province,Latitude,Longitude,Number,Image,Year
1,12/29/16,Green Cove Springs,FL,30.0,-81.8,3,,2016
2,12/28/16,Spring,TX,30.0,-95.5,2,,2016
3,12/28/16,Ocotillo,CA,32.7,-116.1,2,,2016
4,12/27/16,Houston,TX,29.7,-95.4,2,,2016
5,12/26/16,New Orleans,LA,30.0,-90.1,2,,2016
6,12/26/16,,MI,19.6,-100.3,1,,2016
7,12/26/16,Angangeuo,MIC,19.6,-100.3,1,,2016
8,12/25/16,Glendale,CA,34.2,-118.2,2,,2016
9,12/23/16,Houston,TX,29.7,-95.4,1,,2016
10,12/23/16,Richmond,TX,29.6,-95.8,2,,2016
11,12/22/16,Phoenix,AZ,33.4,-112.1,7,,2016
12,12/21/16,Clearwater,FL,28.0,-82.8,1,,2016
13,12/20/16,Dunedin,FL,28.0,-82.8,2,,2016
14,12/19/16,Clearwater,FL,28.0,-82.8,1,,2016
15,12/19/16,Clearwater,FL,28.0,-82.8,1,,2016
16,12/19/16,West Melbourne,FL,28.1,-80.7,2,,2016
17,12/19/16,Fort McCoy,FL,29.5,-81.9,1,,2016
18,12/18/16,Clearwater,FL,28.0,-82.8,1,,2016
19,12/18/16,Clearwater,FL,28.0,-82.8,1,,2016
20,12/18/16,Port Orange,FL,29.1,-81.0,1,,2016
21,12/18/16,Palatka,FL,29.6,-81.7,2,,2016
22,12/18/16,Mount Pleasant,SC,32.8,-79.9,2,,2016
23,12/18/16,Mary Esther,FL,30.4,-86.7,1,,2016
24,12/17/16,Baton Rouge,LA,30.4,-91.0,1,,2016
25,12/17/16,Naples,FL,26.1,-81.8,3,,2016
26,12/17/16,Jamaica Beach,TX,29.2,-95.0,3,,2016
27,12/17/16,Cedar Park,TX,30.5,-97.8,20,,2016
28,12/16/16,Jefferson,LA,30.0,-90.2,5,,2016
29,12/16/16,Los Olivos,CA,34.7,-120.1,1,,2016
30,12/15/16,Crystal River,FL,28.9,-82.6,2,,2016
