Unnamed: 0,Date,Town,State/Province,Latitude,Longitude,Number,Image,Year
1,12/31/18,Homer City,PA,40.5,-79.2,2,,2018
2,12/30/18,Edisto Island,SC,32.5,-80.3,2,,2018
3,12/30/18,Crawfordville,FL,30.1,-84.3,4,,2018
4,12/29/18,Edisto Island,SC,32.6,-80.3,1,,2018
5,12/28/18,Nags Head,NC,35.8,-75.6,1,,2018
6,12/27/18,Corpus Christi,TX,27.7,-97.3,2,,2018
7,12/27/18,Mobile,AL,30.7,-88.1,1,,2018
8,12/27/18,Pearland,TX,29.5,-95.4,1,,2018
9,12/27/18,Arcadia,FL,27.3,-81.9,2,,2018
10,12/25/18,Corpus Christi,TX,27.7,-97.3,3,,2018
11,12/24/18,Katy,TX,29.7,-95.8,1,,2018
12,12/24/18,South Padre Island,TX,26.1,-97.2,3,,2018
13,12/22/18,Gulfport,MS,30.4,-89.1,2,,2018
14,12/22/18,Gulf Shores,AL,30.3,-87.7,6,,2018
15,12/22/18,Corpus Christi,TX,27.7,-97.3,1,,2018
16,12/22/18,Spring,TX,30.1,-95.4,1,,2018
17,12/20/18,Austin,TX,30.3,-97.8,1,,2018
18,12/18/18,Fort Hood,TX,31.2,-97.8,1,,2018
19,12/17/18,Houston,TX,29.7,-95.3,1,,2018
20,12/17/18,Pass Christian,MS,30.3,-89.2,1,,2018
21,12/16/18,New Orleans,LA,30.0,-90.1,1,,2018
22,12/16/18,Corpus Christi,TX,27.7,-97.3,1,,2018
23,12/16/18,Saint Augustine,FL,29.8,-81.3,1,,2018
24,12/16/18,Saint Helena Island,SC,32.4,-80.4,1,,2018
25,12/15/18,Spring,TX,30.1,-95.4,1,,2018
26,12/11/18,Gulf Shores,AL,30.3,-87.7,1,,2018
27,12/11/18,Orange Beach,AL,30.3,-87.6,1,,2018
28,12/10/18,Houston,TX,29.7,-95.3,1,,2018
29,12/10/18,Valdosta,GA,30.8,-83.4,1,,2018
30,12/08/18,Juriquilla,QUE,20.7,-100.4,10,,2018
31,12/05/18,Tucson,AZ,32.1,-110.9,1,,2018
32,12/05/18,Crawfordville,FL,30.2,-84.4,5,,2018
33,12/05/18,Rockport,TX,28.2,-96.9,3,,2018
34,12/03/18,Edinburg,TX,26.3,-98.2,4,,2018
35,12/03/18,Tucson,AZ,32.1,-110.9,2,,2018
36,12/02/18,Saint Augustine,FL,29.8,-81.3,1,,2018
37,12/02/18,Corpus Christi,TX,27.7,-97.3,2,,2018
38,12/02/18,Gause,TX,30.7,-96.7,2,,2018
39,12/02/18,Dickinson,TX,29.4,-95.1,14,,2018
40,12/02/18,Houston,TX,30.0,-95.5,1,,2018
41,12/02/18,Crawfordville,FL,30.2,-84.4,2,,2018
42,12/01/18,Bradenton,FL,27.5,-82.6,1,,2018
43,12/01/18,Lake Jackson,TX,29.0,-95.5,2,,2018
44,12/01/18,Freeport,TX,28.9,-95.3,4,,2018
45,12/01/18,Gause,TX,30.7,-96.7,1,,2018
46,12/01/18,La Porte,TX,29.7,-95.1,1,,2018
47,12/01/18,Spring,TX,30.1,-95.4,1,,2018
48,12/01/18,Pearland,TX,29.5,-95.4,5,,2018
49,12/01/18,Maumelle,AR,34.8,-92.4,2,,2018
50,11/30/18,Christiansted,St Croix,17.7,-64.6,1,,2018
51,11/30/18,Freeport,TX,28.9,-95.3,1,,2018
52,11/30/18,Freeport,TX,28.9,-95.3,4,,2018
53,11/30/18,Gause,TX,30.7,-96.7,2,,2018
54,11/30/18,Lillian,AL,30.4,-87.4,3,,2018
55,11/30/18,Houston,TX,29.7,-95.3,1,,2018
56,11/30/18,Corpus Christi,TX,27.7,-97.3,1,,2018
57,11/30/18,Freeport,TX,28.9,-95.3,4,,2018
58,11/29/18,Houston,TX,29.7,-95.3,2,,2018
59,11/29/18,Lillian,AL,30.4,-87.4,1,,2018
60,11/29/18,Clearwater,FL,28.0,-82.8,2,,2018
61,11/29/18,Destin,FL,30.4,-86.4,2,,2018
62,11/28/18,Houston,TX,30.0,-95.6,2,,2018
63,11/28/18,Tucson,AZ,32.1,-110.9,1,,2018
64,11/28/18,Crawfordville,FL,30.2,-84.4,2,,2018
65,11/27/18,Corpus Christi,TX,27.7,-97.3,1,,2018
66,11/27/18,Seadrift,TX,28.4,-96.7,3,,2018
67,11/27/18,Houston,TX,30.0,-95.6,1,,2018
68,11/26/18,Bay City,TX,28.6,-96.0,4,,2018
69,11/25/18,Houston,TX,30.0,-95.6,1,,2018
70,11/25/18,Corpus Christi,TX,27.7,-97.3,1,,2018
71,11/25/18,Corpus Christi,TX,27.7,-97.3,2,,2018
72,11/25/18,Winter Park,FL,28.6,-81.3,2,,2018
73,11/25/18,Spring,TX,30.1,-95.4,1,,2018
74,11/24/18,Corpus Christi,TX,27.7,-97.3,1,,2018
75,11/24/18,Lillian,AL,30.4,-87.4,1,,2018
76,11/24/18,Gulf Shores,AL,30.3,-87.7,1,,2018
77,11/24/18,Houston,TX,30.0,-95.6,1,,2018
78,11/24/18,Burnet,TX,30.9,-98.1,1,,2018
79,11/24/18,Fairhope,AL,30.5,-87.9,5,,2018
80,11/24/18,Gulf Shores,AL,30.2,-87.8,32,,2018
81,11/24/18,Tucson,AZ,32.1,-110.9,1,,2018
82,11/24/18,Spring,TX,30.1,-95.4,1,,2018
83,11/24/18,Galveston,TX,29.2,-95.0,8,,2018
84,11/23/18,South Padre Island,TX,26.2,-97.2,7,,2018
85,11/23/18,Quintana Beach,TX,28.9,-95.3,200,,2018
86,11/23/18,Corpus Christi,TX,27.7,-97.3,1,,2018
87,11/23/18,Orange Beach,AL,30.3,-87.5,100,,2018
88,11/23/18,Houston,TX,30.0,-95.6,1,,2018
89,11/22/18,Dauphin Island,AL,30.3,-88.1,20,,2018
90,11/22/18,Gulf Breeze,FL,30.3,-87.2,50,,2018
91,11/22/18,Bradenton,FL,27.5,-82.6,11,,2018
92,11/22/18,Corpus Christi,TX,27.5,-97.3,4,,2018
93,11/22/18,Wisner,LA,32.0,-91.8,1,,2018
94,11/21/18,Lillian,AL,30.4,-87.4,1,,2018
95,11/21/18,Willis,TX,30.4,-95.6,2,,2018
96,11/21/18,Ocean Springs,MS,30.3,-88.7,20,,2018
97,11/21/18,Phoenix,AZ,33.9,-112.1,2,,2018
98,11/20/18,Seguin,TX,29.6,-98.0,4,,2018
99,11/20/18,Houston,TX,29.7,-95.3,1,,2018
100,11/20/18,Lillian,AL,30.4,-87.4,1,,2018
101,11/20/18,La Quinta,CA,33.6,-116.2,1,,2018
102,11/20/18,Bay City,TX,28.6,-96.0,2,,2018
103,11/20/18,Birmingham,AL,33.4,-86.8,20,,2018
104,11/20/18,Magnolia,TX,30.2,-95.8,1,,2018
105,11/20/18,Navarre,FL,30.4,-86.9,20,,2018
106,11/20/18,Corpus Christi,TX,27.7,-97.2,40,,2018
107,11/20/18,Nueces Bay Causeway,TX,27.8,-97.4,10,,2018
108,11/19/18,Lillian,AL,30.4,-87.4,1,,2018
109,11/19/18,Lillian,AL,30.4,-87.4,1,,2018
110,11/19/18,Jekyll Island,GA,31.1,-81.4,20,,2018
111,11/18/18,Hayes,VA,37.3,-76.6,1,,2018
112,11/18/18,Baton Rouge,LA,30.4,-91.0,1,,2018
113,11/18/18,Destin,FL,30.4,-86.4,2,,2018
114,11/18/18,La Porte,TX,29.7,-95.1,1,,2018
115,11/18/18,Statham,GA,34.0,-83.6,1,,2018
116,11/18/18,Jekyll Island,GA,31.1,-81.4,10,,2018
117,11/18/18,Christiansted,St Croix,17.7,-64.7,4,,2018
118,11/17/18,Houston,TX,29.7,-95.3,2,,2018
119,11/17/18,Austin,TX,30.3,-97.8,2,,2018
120,11/17/18,Corpus Christi,TX,27.7,-97.3,1,,2018
121,11/17/18,Hempstead,TX,30.2,-96.1,1,,2018
122,11/17/18,Austin,TX,30.2,-97.8,4,,2018
123,11/17/18,Willis,TX,30.4,-95.6,20,,2018
124,11/17/18,Flower Mound,TX,33.0,-97.1,5,,2018
125,11/17/18,Tuscumbia,AL,34.7,-87.7,1,,2018
126,11/17/18,Crawfordville,FL,30.2,-84.4,2,,2018
127,11/16/18,Magnolia,TX,30.1,-95.7,1,,2018
128,11/16/18,Georgetown,TX,30.6,-97.7,1,,2018
129,11/16/18,Lillian,AL,30.4,-87.4,1,,2018
130,11/16/18,Virginia Beach,VA,36.9,-76.1,1,,2018
131,11/16/18,Caldwell,TX,30.6,-96.5,2,,2018
132,11/16/18,Point Clear,AL,30.5,-87.9,9,,2018
133,11/15/18,Rockport,TX,28.1,-97.0,9,,2018
134,11/15/18,Willis,TX,30.4,-95.6,6,,2018
135,11/15/18,Destin,FL,30.4,-86.4,5,,2018
136,11/15/18,Gause,TX,30.7,-96.7,2,,2018
137,11/15/18,Austin,TX,30.3,-97.8,1,,2018
138,11/15/18,Buchanan Dam,TX,30.7,-98.4,1,,2018
139,11/14/18,Edinburg,TX,26.3,-98.2,1,,2018
140,11/14/18,Edinburg,TX,26.3,-98.2,1,,2018
141,11/14/18,Dickinson,TX,29.5,-95.1,3,,2018
142,11/14/18,Johns Island,SC,32.6,-80.1,1,,2018
143,11/14/18,Willis,TX,30.4,-95.6,6,,2018
144,11/13/18,Ocala,FL,29.0,-82.2,2,,2018
145,11/13/18,Huntington Beach,CA,33.7,-118.0,1,,2018
146,11/13/18,San Antonio,TX,29.4,-98.5,5,,2018
147,11/13/18,Caldwell,TX,30.6,-96.5,1,,2018
148,11/13/18,Austin,TX,30.2,-97.8,5,,2018
149,11/12/18,Saint Augustine,FL,29.8,-81.3,1,,2018
