Unnamed: 0,Date,Town,State/Province,Latitude,Longitude,Number,Image,Year
1,12/27/12,Santa Cruz,CA,37.1,-122.2,4000,,2012
2,12/27/12,Santa Cruz,CA,37.1,-122.2,3500,,2012
3,12/26/12,Angangueo,MIC,19.6,-100.3,1,,2012
4,12/26/12,Goleta,CA,34.4,-119.9,1,,2012
5,12/26/12,Pismo Beach,CA,35.1,-120.6,1,,2012
6,12/26/12,Ventura,CA,34.3,-119.3,1,,2012
7,12/26/12,Pacific Grove,CA,36.6,-121.9,1,,2012
8,12/26/12,Ventura,CA,34.3,-119.2,1,,2012
9,12/22/12,Katy,TX,29.8,-95.7,2,,2012
10,12/18/12,Horseshoe Bay,TX,30.5,-98.4,1,,2012
11,12/17/12,Miami,FL,25.8,-80.2,1,,2012
12,12/16/12,Mercedes,TX,26.1,-97.9,2,,2012
13,12/16/12,Las Jaras,MIC,19.7,-100.3,10000,,2012
14,12/09/12,Gulfshores,AL,30.2,-88.0,11,,2012
15,12/08/12,Sugar Land,TX,29.6,-95.6,5,,2012
16,12/08/12,Cantonment,FL,30.6,-87.3,1,,2012
17,12/08/12,La Habra,CA,33.9,-118.0,1,,2012
18,12/05/12,Mary Esther,FL,30.4,-86.8,2,,2012
19,12/04/12,Ormond Beach,FL,29.3,-81.1,1,,2012
20,12/04/12,Saint Petersburg,FL,27.8,-82.7,1,,2012
21,12/03/12,Katy,TX,29.8,-95.7,2,,2012
22,12/03/12,Salado,TX,30.9,-97.6,4,,2012
23,12/03/12,Houston,TX,29.8,-95.4,5,,2012
24,12/02/12,houma,LA,29.6,-90.8,1,,2012
25,12/02/12,Indio,CA,33.7,-116.2,1,,2012
26,12/02/12,Saginaw,TX,32.9,-97.4,6,,2012
27,12/02/12,Wichita Falls,TX,34.0,-98.5,1,,2012
28,12/02/12,Honaunau,HI,19.4,-155.9,1,,2012
29,12/02/12,Sandia,TX,28.1,-98.0,2,,2012
30,12/01/12,Savannah,GA,32.0,-81.0,25,,2012
31,11/30/12,austin,TX,30.2,-97.7,1,,2012
32,11/28/12,Tucson,AZ,32.2,-111.0,2,,2012
33,11/28/12,Katy,TX,29.8,-95.7,1,,2012
34,11/27/12,Useppa Island,FL,26.7,-82.2,5,,2012
35,11/27/12,Atlantic Beach,FL,30.4,-81.4,1,,2012
36,11/26/12,Jacksonville,FL,30.3,-81.8,3,,2012
37,11/25/12,Burkburnett,TX,34.1,-98.6,1,,2012
38,11/24/12,Dallas,TX,32.8,-96.8,1,,2012
39,11/24/12,Baton Rouge,LA,30.4,-91.2,2,,2012
40,11/23/12,Mercedes,TX,26.1,-97.9,1,,2012
41,11/23/12,Monterrey,NL,25.7,-100.3,5,,2012
42,11/23/12,Egmont Key,FL,39.0,-77.3,4,,2012
43,11/22/12,Sugar Land,TX,29.6,-95.6,6,,2012
44,11/22/12,Mercedes,TX,26.1,-97.9,1,,2012
