,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,12/31/20,Wesley Chapel,FL,28.2,-82.3,1,
2,12/31/20,Eastpoint,FL,29.7,-84.9,1,
3,12/31/20,Fort Lauderdale,FL,26.1,-80.3,8,
4,12/30/20,Galveston,TX,29.2,-94.9,1,
5,12/30/20,Panama City Beach,FL,30.2,-85.8,1,
6,12/30/20,Rockport,TX,28.1,-97,1,
7,12/30/20,Rockport,TX,28.1,-97,1,
8,12/30/20,Fulton,TX,28.1,-97,1,
9,12/30/20,Jbsa Ft Sam Houston,TX,29.5,-98.5,2,
10,12/30/20,Galveston,TX,29.2,-94.9,1,
11,12/30/20,Galveston,TX,29.2,-94.9,1,
12,12/30/20,Galveston,TX,29.2,-94.9,1,
13,12/30/20,Galveston,TX,29.2,-94.9,1,
14,12/30/20,Galveston,TX,29.2,-94.9,1,
15,12/30/20,Galveston,TX,29.2,-94.9,1,
16,12/30/20,Galveston,TX,29.2,-94.9,1,
17,12/30/20,Galveston,TX,29.2,-94.9,1,
18,12/30/20,Plano,TX,33,-96.7,1,
19,12/30/20,Plano,TX,33,-96.7,1,
20,12/30/20,Mcveytown,PA,40.5,-77.8,0,
21,12/29/20,Punta Gorda,FL,26.9,-82.1,1,
22,12/29/20,Clearwater,FL,28,-82.8,1,
23,12/29/20,Galveston,TX,29.2,-94.9,1,
24,12/29/20,Savannah,GA,32,-81.1,1,
25,12/29/20,Encinitas,CA,33,-117.3,2,
26,12/29/20,Miramar Beach,FL,30.4,-86.3,1,
27,12/29/20,Palm Coast,FL,29.5,-81.2,1,
28,12/29/20,Tallahassee,FL,30.4,-84.2,1,
29,12/29/20,Delray Beach,FL,26.5,-80.1,7,
30,12/29/20,Donalsonville,GA,31,-84.9,1,
31,12/29/20,Donalsonville,GA,30.8,-84.9,2,
32,12/29/20,Savannah,GA,32,-81.1,1,
33,12/29/20,Port O Connor,TX,28.5,-96.4,1,
34,12/29/20,Palm Coast,FL,29.5,-81.2,1,
35,12/29/20,Encinitas,CA,33,-117.3,2,
